stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
663,3903,Jane St at Heathrow Dr,,43.724803,-79.509439,,,,,,1
664,10411,Jane St at Hullmar Dr,,43.772801,-79.521145,,,,,,1
665,3904,Jane St at Hullmar Dr,,43.773357,-79.521585,,,,,,1
666,11842,Jane St at Lambton Ave,,43.68093,-79.497522,,,,,,1
667,3916,Jane St at Pritchard Ave,,43.669731,-79.493013,,,,,,1
668,2740,Jane St at Wright Ave,,43.701092,-79.503411,,,,,,1
669,10412,Jane St at Steeles Ave West,,43.775288,-79.521497,,,,,,1
680,12146,John Garland Blvd at Finch Ave West South Side,,43.73531,-79.594657,,,,,,1
681,11199,John Garland Blvd at Finch Ave West,,43.735579,-79.594631,,,,,,1
683,9149,Keele St at Finch Ave West North Side - Finch West Station,,43.764093,-79.490996,,,,,,1
685,11321,Keele St at Finch Ave West - Finch West Station,,43.763952,-79.491402,,,,,,1
686,7898,St Clair Ave West at Keele St/ Weston Rd,,43.672376,-79.467746,,,,,,1
687,6338,Crescent Rd at South Dr (West),,43.678317,-79.382775,,,,,,1
688,1080,Gerrard St East at Blackburn St,,43.664667,-79.355383,,,,,,2
689,5221,Lansdowne Ave at Seaforth Ave,,43.642783,-79.437588,,,,,,1
690,13313,Scarlett Rd at Foxwell St,,43.669109,-79.501269,,,,,,2
692,2381,Eglinton Ave West at Martin Grove Rd,,43.674662,-79.562929,,,,,,1
693,6931,Ranee Ave at Varna Dr - Yorkdale Station,,43.723727,-79.446059,,,,,,1
694,4973,Dixon Rd at 950 Dixon Rd,,43.686752,-79.598885,,,,,,1
695,1301,McCowan Rd at Kenhatch Blvd,,43.801324,-79.263574,,,,,,1
696,546,Bloor St West at Markland Dr (East) East Side,,43.633599,-79.570302,,,,,,1
697,8179,St Clair Ave West at Old Weston Rd,,43.673441,-79.463154,,,,,,1
699,3336,Belfield Rd at Kipling Ave - Etobicoke North GO Station,,43.704617,-79.563789,,,,,,1
701,5496,Lloyd Manor Rd at Firwood Cres North Side,,43.665826,-79.550934,,,,,,2
702,9808,McCowan Rd Loop at Steeles Ave East,,43.832437,-79.275113,,,,,,2
703,10237,Maybrook Dr at Newmill Gate,,43.825459,-79.261236,,,,,,1
704,3087,Queen St West at Soho St,,43.649465,-79.393288,,,,,,1
706,8215,Steeles Ave East at Don Mills Rd,,43.811361,-79.360551,,,,,,1
707,202,Bathurst St at St Clair Ave West North Side,,43.683539,-79.418312,,,,,,1
708,1745,The Bridle Path at Lawrence Ave East South Side,,43.733072,-79.364553,,,,,,2
710,11251,Midland Ave at Steeles Ave East South Side,,43.825426,-79.297157,,,,,,1
711,4241,Kingston Rd at McNab Blvd East Side,,43.728894,-79.227864,,,,,,1
714,4353,Kipling Ave at Jutland Rd,,43.627059,-79.529279,,,,,,2
717,5891,Oakdale Rd at Sheppard Ave West North Side,,43.737561,-79.524547,,,,,,1
718,11775,Parkside Dr at High Park Blvd,,43.644754,-79.456095,,,,,,2
719,2683,Guildwood Pkwy at Navarre Cres,,43.749505,-79.190293,,,,,,1
720,5688,Midland Ave at Boarhill Dr,,43.799936,-79.284552,,,,,,1
721,2320,Eglinton Ave East at Wynford Dr West Side,,43.724363,-79.325724,,,,,,1
725,3407,Chaplin Cres at Avenue Rd,,43.698727,-79.405846,,,,,,1
726,7691,Ellesmere Rd at Helicon Gate West Side,,43.778605,-79.222594,,,,,,1
727,3648,Glencairn Ave at Danesbury Ave,,43.708267,-79.446835,,,,,,1
729,11166,The Esplanade at Princess St,,43.649601,-79.365268,,,,,,1
730,1867,Davisville Ave at Pailton Cres,,43.699192,-79.392008,,,,,,2
731,3882,Jane St at Dundas St West,,43.665416,-79.490919,,,,,,1
733,2233,Eglinton Ave East at Lebovic Ave East Side,,43.726941,-79.290955,,,,,,1
735,9613,1100 Bellamy Rd North,,43.776198,-79.242397,,,,,,1
736,8630,Wellesley St East at Ontario St,,43.66753,-79.372262,,,,,,1
737,1875,Davisville Ave at Belle Ayre Blvd,,43.700997,-79.383433,,,,,,2
738,915,Danforth Ave at Woodbine Ave,,43.685785,-79.312657,,,,,,1
739,8052,Railside Rd at Codeco Crt East Side,,43.735749,-79.327083,,,,,,1
740,6418,Henrietta St at Runnymede Rd,,43.67061,-79.484457,,,,,,1
741,6158,Waterbury Dr at Martin Grove Rd,,43.687672,-79.569349,,,,,,1
742,8140,St Clair Ave East at Denvale Rd,,43.704594,-79.318304,,,,,,1
743,14263,Birchmount Rd at Ashtonbee Rd,,43.732744,-79.278727,,,,,,1
744,2873,McCowan Rd at Sandhurst Cir (North),,43.811497,-79.268991,,,,,,1
745,9691,Clonmore Dr at Cornell Ave,,43.691478,-79.275328,,,,,,1
746,3052,Queen St East at Jones Ave,,43.662783,-79.332569,,,,,,1
747,1238,Leslie St at Commissioners St,,43.656679,-79.326626,,,,,,1
748,1981,16 The Donway East - Opposite Don Mills Collegiate,,43.736053,-79.340644,,,,,,1
749,8500,Victoria Park Ave at Sloane Ave,,43.738869,-79.308634,,,,,,1
750,5602,1915 Martin Grove Rd,,43.746303,-79.596177,,,,,,1
751,62,Avenue Rd at Dupont St,,43.677274,-79.397763,,,,,,1
753,9237,Shorncliffe Ave at North Queen St,,43.622732,-79.540842,,,,,,1
754,3697,High Park Ave at Glenlake Ave,,43.657034,-79.466644,,,,,,1
755,6202,The Westway at Sun Row Dr East Side,,43.689215,-79.540494,,,,,,1
756,5932,O'Connor Dr at Ralston Ave West Side,,43.698228,-79.327577,,,,,,1
757,8177,St Clair Ave West at Oakwood Ave,,43.679399,-79.435995,,,,,,1
758,2644,Finch Ave West at Woodbine Downs Blvd,,43.733802,-79.606418,,,,,,1
